recital_group,show_order,has_fixed_order
OPENER,"[1]",1
A,"[25,9,13,""PLACEHOLDER"",20,15,""PLACEHOLDER"",6,12,26,19]",0
B,"[7,14,3,""PLACEHOLDER"",17,28,27,8,16,""PLACEHOLDER"",18]",0
C,"[22,11,5,""PLACEHOLDER"",23,4,10,""PLACEHOLDER"",24,21]",0
CLOSER,"[2,41]",1
