class_id,dance_id
1,7
1,8
2,22
2,23
3,25
3,26
4,12
4,13
5,6
6,6
7,3
8,4
9,5
10,5
11,3
12,4
13,2
14,2
15,2
16,10
17,28
18,18
19,19
20,27
21,20
22,9
23,21
24,31
24,32
25,35
25,36
26,33
26,34
27,37
27,38
28,39
28,40
29,29
29,30
30,14
31,24
32,15
33,16
34,11
35,17
30,1
31,1
32,1
33,1
34,1
35,1
