show_id,class_id,dressing_room_id
1,25,1
1,29,2
1,3,3
1,17,4
1,19,4
1,22,4
1,33,4
1,14,4
1,15,5
1,35,5
1,5,6
1,6,6
1,7,6
1,11,6
1,20,7
1,30,7
1,1,8
1,4,8
1,13,9
1,32,9
1,21,10
1,18,10
2,24,1
2,27,2
2,2,3
2,19,4
2,22,4
2,12,4
2,23,4
2,14,4
2,0,4
2,15,5
2,34,5
2,5,6
2,6,6
2,8,6
2,9,6
2,10,6
2,31,7
2,32,7
2,3,8
2,4,8
2,13,9
2,16,9
2,21,10
3,26,1
3,28,2
3,2,3
3,17,4
3,33,4
3,14,4
3,12,4
3,23,4
3,15,5
3,34,5
3,35,5
3,7,6
3,11,6
3,8,6
3,9,6
3,10,6
3,13,7
3,31,7
3,1,8
3,20,9
3,30,9
3,16,10
3,18,10
